timestamp,aspex_proton_flux,papa_wind_velocity,mag_bz_field
2026-08-06 14:40:53.408300,44.08,437.43,-1.67
2026-08-06 14:40:53.437296,1e+31,1e+31,-0.94
2026-08-06 14:40:53.483805,45.25,399.49,6.19
2026-08-06 14:40:53.506605,0.08,378.74,5.69
2026-08-06 14:40:53.514351,40.38,437.34,5.64
2026-08-06 14:40:53.539861,0.02,330.76,-7.08
2026-08-06 14:40:53.550038,43.93,399.92,0.77
2026-08-06 14:40:53.571293,1e+31,1e+31,3.12
2026-08-06 14:40:53.579294,61.82,393.58,-2.77
2026-08-06 14:40:53.599923,0.02,362.9,2.53
2026-08-06 14:40:53.609105,56.5,407.83,-3.76
2026-08-06 14:40:53.633994,1e+31,1e+31,-3.26
2026-08-06 14:40:53.643419,45.39,459.82,0.25
2026-08-06 14:40:53.668734,0.05,368.27,-0.76
2026-08-06 14:40:53.678510,40.87,445.54,5.67
2026-08-06 14:40:53.702780,1e+31,1e+31,-2.88
2026-08-06 14:40:53.711943,1e+31,423.68,2.57
2026-08-06 14:40:53.733431,1e+31,1e+31,8.61
2026-08-06 14:40:53.742222,35.61,482.05,3.06
2026-08-06 14:40:53.764028,1e+31,1e+31,-4.07
2026-08-06 14:40:53.771736,47.05,377.25,-1.37
2026-08-06 14:40:53.794705,0.11,296.29,4.97
2026-08-06 14:40:53.835278,1e+31,1e+31,-5.34
2026-08-06 14:40:53.870368,0.07,404.22,-1.95
2026-08-06 14:40:53.900383,1e+31,1e+31,-1.78
2026-08-06 14:40:53.923618,1e+31,1e+31,-0.99
2026-08-06 14:40:53.946177,0.23,812.71,0.31
2026-08-06 14:40:53.966630,1e+31,1e+31,-1.48
2026-08-06 14:40:53.973895,49.42,430.99,6.08
2026-08-06 14:40:53.994022,1e+31,1e+31,0.23
2026-08-06 14:40:54.001517,53.74,460.18,-3.31
2026-08-06 14:40:54.019055,1e+31,1e+31,-8.27
2026-08-06 14:40:54.026170,51.3,430.8,-9.64
2026-08-06 14:40:54.045054,1e+31,1e+31,-1.43
2026-08-06 14:40:54.052143,39.37,429.23,0.51
2026-08-06 14:40:54.072960,0.27,453.27,-0.46
2026-08-06 14:40:54.080319,42.13,444.8,3.11
2026-08-06 14:40:54.100738,0.02,425.96,-3.11
2026-08-06 14:40:54.108532,64.71,400.4,3.76
2026-08-06 14:40:54.127889,0.09,425.73,3.33
2026-08-06 14:40:54.134894,46.22,379.53,6.22
2026-08-06 14:40:54.155143,1e+31,1e+31,1.97
2026-08-06 14:40:54.164995,1e+31,454.29,-2.32
2026-08-06 14:40:54.185046,0.65,678.49,-9.91
2026-08-06 14:40:54.189620,55.09,380.41,5.34
2026-08-06 14:40:54.197242,1e+31,1e+31,0.69
2026-08-06 14:40:54.213886,0.04,419.79,-0.94
2026-08-06 14:41:53.408300,44.16,414.87,2.04
2026-08-06 14:41:53.437296,1e+31,1e+31,3.05
2026-08-06 14:41:53.483805,45.19,419.82,1.6
2026-08-06 14:41:53.506605,0.09,377.64,0.18
2026-08-06 14:41:53.514351,40.18,412.18,4.69
2026-08-06 14:41:53.539861,0.03,328.18,-7.5
2026-08-06 14:41:53.550038,43.57,400.55,-2.99
2026-08-06 14:41:53.571293,1e+31,1e+31,-6.33
2026-08-06 14:41:53.579294,59.93,470.37,0.39
2026-08-06 14:41:53.599923,0.02,368.3,5.68
2026-08-06 14:41:53.609105,49.71,464.91,-7.9
2026-08-06 14:41:53.633994,1e+31,1e+31,-6.63
2026-08-06 14:41:53.643419,45.54,441.91,1.05
2026-08-06 14:41:53.668734,1e+31,1e+31,5.62
2026-08-06 14:41:53.678510,40.87,449.16,-6.19
2026-08-06 14:41:53.702780,1e+31,1e+31,2.97
2026-08-06 14:41:53.711943,1e+31,432.09,4.56
2026-08-06 14:41:53.733431,1e+31,1e+31,3.33
2026-08-06 14:41:53.742222,35.62,466.22,2.43
2026-08-06 14:41:53.764028,1e+31,1e+31,-2.86
2026-08-06 14:41:53.771736,47.05,429.96,0.81
2026-08-06 14:41:53.794705,0.1,301.21,2.47
2026-08-06 14:41:53.835278,1e+31,1e+31,0.63
2026-08-06 14:41:53.870368,1e+31,1e+31,-0.8
2026-08-06 14:41:53.900383,4.83,566.86,6.51
2026-08-06 14:41:53.923618,0.03,934.9,-10.04
2026-08-06 14:41:53.946177,1e+31,1e+31,2.7
2026-08-06 14:41:53.966630,1e+31,1e+31,2.21
2026-08-06 14:41:53.973895,49.41,461.6,-1.92
2026-08-06 14:41:53.994022,1e+31,1e+31,-4.54
2026-08-06 14:41:54.001517,53.74,410.61,1.08
2026-08-06 14:41:54.019055,1e+31,1e+31,-3.96
2026-08-06 14:41:54.026170,51.23,481.77,2.92
2026-08-06 14:41:54.045054,1e+31,1e+31,0.12
2026-08-06 14:41:54.052143,39.41,469.63,-11.28
2026-08-06 14:41:54.072960,1e+31,1e+31,0.08
2026-08-06 14:41:54.080319,42.21,424.05,-0.46
2026-08-06 14:41:54.100738,0.03,431.78,9.44
2026-08-06 14:41:54.108532,64.74,423.05,3.04
2026-08-06 14:41:54.127889,0.08,432.84,1.44
2026-08-06 14:41:54.134894,46.22,424.35,0.19
2026-08-06 14:41:54.155143,1e+31,1e+31,-6.86
2026-08-06 14:41:54.164995,1e+31,447.08,0.46
2026-08-06 14:41:54.185046,0.73,685.28,-1.76
2026-08-06 14:41:54.189620,55.05,457.86,-7.04
2026-08-06 14:41:54.197242,1e+31,1e+31,2.2
2026-08-06 14:41:54.213886,0.04,423.27,-1.94
2026-08-06 14:42:53.408300,44.83,423.51,-5.0
2026-08-06 14:42:53.437296,1e+31,1e+31,3.79
2026-08-06 14:42:53.483805,45.25,469.94,-7.69
2026-08-06 14:42:53.506605,0.08,375.57,-2.6
2026-08-06 14:42:53.514351,39.7,482.79,2.84
2026-08-06 14:42:53.539861,1e+31,1e+31,-3.82
2026-08-06 14:42:53.550038,43.39,426.28,-10.77
2026-08-06 14:42:53.571293,1e+31,1e+31,0.83
2026-08-06 14:42:53.579294,58.85,418.01,-1.13
2026-08-06 14:42:53.599923,0.02,371.96,-2.32
2026-08-06 14:42:53.609105,48.95,437.55,10.28
2026-08-06 14:42:53.633994,1e+31,1e+31,5.64
2026-08-06 14:42:53.643419,45.54,407.12,-3.37
2026-08-06 14:42:53.668734,1e+31,1e+31,4.79
2026-08-06 14:42:53.678510,40.86,454.7,-0.43
2026-08-06 14:42:53.702780,1e+31,1e+31,9.89
2026-08-06 14:42:53.711943,1e+31,462.49,-3.89
2026-08-06 14:42:53.733431,1e+31,1e+31,6.17
2026-08-06 14:42:53.742222,35.62,456.17,1.87
2026-08-06 14:42:53.764028,1e+31,1e+31,7.86
2026-08-06 14:42:53.771736,47.96,459.13,2.82
2026-08-06 14:42:53.794705,0.1,302.72,4.87
2026-08-06 14:42:53.835278,0.06,468.02,-3.36
2026-08-06 14:42:53.870368,1e+31,1e+31,-4.38
2026-08-06 14:42:53.900383,4.52,576.19,-1.05
2026-08-06 14:42:53.923618,0.06,903.15,-3.43
2026-08-06 14:42:53.946177,0.23,813.56,3.78
2026-08-06 14:42:53.966630,1e+31,1e+31,1.82
2026-08-06 14:42:53.973895,49.39,472.36,1.16
2026-08-06 14:42:53.994022,0.1,360.27,-4.78
2026-08-06 14:42:54.001517,53.74,430.13,3.12
2026-08-06 14:42:54.019055,1e+31,1e+31,1.34
2026-08-06 14:42:54.026170,51.16,435.97,0.79
2026-08-06 14:42:54.045054,1e+31,1e+31,-1.13
2026-08-06 14:42:54.052143,39.45,434.72,4.26
2026-08-06 14:42:54.072960,0.13,453.16,-6.0
2026-08-06 14:42:54.080319,42.29,468.12,1.97
2026-08-06 14:42:54.100738,0.02,430.6,-2.82
2026-08-06 14:42:54.108532,64.78,460.25,0.21
2026-08-06 14:42:54.127889,0.08,436.59,-9.05
2026-08-06 14:42:54.134894,46.21,399.38,1.12
2026-08-06 14:42:54.155143,1e+31,1e+31,-2.25
