timestamp,sat_id,battery_voltage,subsystem_temp_c,gyro_drift_deg_hr,dosimeter_count,storm_severity,risk_score
2026-08-30 05:58:00+00:00,SAT-001,27.055,28.903,0.381,53.73,1,12.8719
2026-08-30 05:59:00+00:00,SAT-001,27.379,27.957,0.379,54.07,1,12.7366
2026-08-30 06:00:00+00:00,SAT-001,27.012,27.248,0.4041,51.9,1,13.1391
2026-08-30 06:01:00+00:00,SAT-001,27.704,28.37,0.338,37.27,1,10.3566
2026-08-30 06:02:00+00:00,SAT-001,27.018,29.769,0.4028,59.79,1,13.8253
2026-08-30 06:03:00+00:00,SAT-001,27.011,29.248,0.4522,61.58,1,14.8782
2026-08-30 06:04:00+00:00,SAT-001,27.907,26.503,0.2375,65.19,1,10.9796
2026-08-30 06:05:00+00:00,SAT-001,27.039,30.012,0.3453,65.25,1,13.2784
2026-08-30 06:06:00+00:00,SAT-001,27.808,27.143,0.3485,68.03,1,13.2719
2026-08-30 06:07:00+00:00,SAT-001,28.305,26.646,0.3457,39.7,1,10.4737
2026-08-30 06:08:00+00:00,SAT-001,27.023,27.511,0.3601,46.52,1,11.8592
2026-08-30 06:09:00+00:00,SAT-001,26.593,28.011,0.3997,52.05,1,13.2425
2026-08-30 06:10:00+00:00,SAT-001,27.356,27.636,0.312,66.12,1,12.6248
2026-08-30 06:11:00+00:00,SAT-001,27.75,27.63,0.3034,53.39,1,11.1671
2026-08-30 06:12:00+00:00,SAT-001,27.768,29.704,0.3641,66.84,1,13.4631
2026-08-30 06:13:00+00:00,SAT-001,27.887,29.855,0.2616,65.36,1,11.4367
2026-08-30 06:14:00+00:00,SAT-001,26.703,28.068,0.348,52.48,1,12.3052
2026-08-30 06:15:00+00:00,SAT-001,26.394,26.288,0.3268,50.44,1,11.8653
2026-08-30 06:16:00+00:00,SAT-001,26.879,28.465,0.526,57.56,1,15.8961
2026-08-30 06:17:00+00:00,SAT-001,27.402,27.382,0.3895,64.6,1,13.8649
2026-08-30 06:18:00+00:00,SAT-001,27.298,25.543,0.4088,69.3,1,14.6769
2026-08-30 06:19:00+00:00,SAT-001,27.521,28.068,0.408,49.06,1,12.752
2026-08-30 06:20:00+00:00,SAT-001,27.396,27.042,0.3917,56.11,1,13.1428
2026-08-30 06:21:00+00:00,SAT-001,28.188,29.418,0.374,62.09,1,13.0447
2026-08-30 06:22:00+00:00,SAT-001,26.705,27.914,0.4806,56.79,1,15.0804
2026-08-30 06:23:00+00:00,SAT-001,27.407,32.567,0.2638,55.24,1,12.0401
2026-08-30 06:24:00+00:00,SAT-001,27.023,29.886,0.3362,69.08,1,13.46
2026-08-30 06:25:00+00:00,SAT-001,27.451,27.898,0.4723,63.66,1,15.25
2026-08-30 06:26:00+00:00,SAT-001,27.141,26.813,0.3507,55.99,1,12.4958
2026-08-30 06:27:00+00:00,SAT-001,27.079,28.552,0.2997,65.05,1,12.4176
2026-08-30 06:28:00+00:00,SAT-001,26.897,29.535,0.2465,40.73,1,9.3436
2026-08-30 06:29:00+00:00,SAT-001,26.985,29.138,0.3724,69.79,1,14.1892
2026-08-30 06:30:00+00:00,SAT-001,26.361,30.017,0.5051,56.26,1,15.6196
2026-08-30 06:31:00+00:00,SAT-001,27.154,29.161,0.3847,43.38,1,11.9669
2026-08-30 06:32:00+00:00,SAT-001,27.036,28.21,0.3299,58.13,1,12.3554
2026-08-30 06:33:00+00:00,SAT-001,28.021,26.255,0.2458,60.83,1,10.6914
2026-08-30 06:34:00+00:00,SAT-001,26.424,29.763,0.4684,39.81,1,13.4453
2026-08-30 06:35:00+00:00,SAT-001,26.949,26.787,0.3441,46.4,1,11.5911
2026-08-30 06:36:00+00:00,SAT-001,27.264,27.75,0.5175,47.99,1,14.728
2026-08-30 06:37:00+00:00,SAT-001,27.312,26.263,0.4324,58.26,1,14.1008
2026-08-30 06:38:00+00:00,SAT-001,28.27,26.823,0.3287,52.8,1,11.3598
2026-08-30 06:39:00+00:00,SAT-001,26.588,31.375,0.3656,58.62,1,13.9089
2026-08-30 06:40:00+00:00,SAT-001,27.487,28.227,0.3157,60.56,1,12.1393
2026-08-30 06:41:00+00:00,SAT-001,27.188,29.413,0.3732,55.9,1,12.8732
2026-08-30 06:42:00+00:00,SAT-001,28.196,27.753,0.4133,54.86,1,13.0987
2026-08-30 06:43:00+00:00,SAT-001,27.294,26.805,0.3115,46.19,1,10.8462
2026-08-30 06:44:00+00:00,SAT-001,26.42,30.369,0.3974,61.89,1,14.3401
2026-08-30 06:45:00+00:00,SAT-001,27.532,29.978,0.3544,61.18,1,12.8728
